Date,Amount (INR),Category,Description
2024-01-01,845.2,Dining Out,Pizza night
2024-01-02,4070.45,Groceries,Monthly groceries at D-Mart
2024-01-03,1435.14,Health,Doctor consultation
2024-01-04,888.51,Shopping,Footwear
2024-01-05,1117.99,Dining Out,Cafe visit
2024-01-05,1516.45,Transport,Parking fee
2024-01-05,1188.09,Transport,Fuel for bike
2024-01-07,632.04,Entertainment,Bowling night
2024-01-08,918.6,Utilities,Internet bill
2024-01-09,1504.04,Utilities,Electricity bill
2024-01-10,16777.67,Rent,Apartment rent payment
2024-01-10,4742.58,Groceries,Online grocery order
2024-01-11,4348.43,Groceries,Supermarket purchase
2024-01-12,1781.01,Shopping,Online purchase
2024-01-15,1109.35,Health,Pharmacy purchase
2024-01-15,1610.63,Shopping,New clothes
2024-01-16,765.3,Utilities,Gas bill
2024-01-19,566.17,Dining Out,Takeaway food
2024-01-19,975.66,Dining Out,Dinner at restaurant
2024-01-19,4568.07,Groceries,General store purchase
2024-01-20,4467.16,Groceries,Vegetable market purchase
2024-01-21,950.49,Transport,Uber ride
2024-01-22,764.02,Entertainment,Netflix subscription
2024-01-24,1150.32,Utilities,Water bill
2024-01-25,2099.19,Insurance,Health insurance premium
2024-01-26,451.94,Entertainment,Movie tickets
2024-01-26,6948.73,Savings,Monthly SIP investment
2024-01-29,1157.22,Transport,Auto fare
2024-01-30,635.86,Dining Out,Lunch with friends
2024-01-30,749.85,Transport,Metro card recharge
2024-02-01,1712.3,Shopping,Online purchase
2024-02-01,1171.83,Utilities,Water bill
2024-02-02,4382.85,Groceries,Supermarket purchase
2024-02-02,5043.97,Groceries,General store purchase
2024-02-03,677.79,Dining Out,Lunch with friends
2024-02-05,5141.78,Groceries,Online grocery order
2024-02-06,726.04,Transport,Metro card recharge
2024-02-07,963.71,Shopping,Footwear
2024-02-08,955.73,Transport,Uber ride
2024-02-08,1237.57,Dining Out,Cafe visit
2024-02-10,1314.31,Transport,Fuel for bike
2024-02-10,802.65,Dining Out,Pizza night
2024-02-11,4127.46,Groceries,Monthly groceries at D-Mart
2024-02-11,17131.79,Rent,Apartment rent payment
2024-02-11,7195.77,Savings,Monthly SIP investment
2024-02-11,854.28,Dining Out,Dinner at restaurant
2024-02-14,1091.05,Utilities,Internet bill
2024-02-16,1540.21,Transport,Parking fee
2024-02-17,1360.74,Shopping,New clothes
2024-02-18,1485.79,Health,Doctor consultation
2024-02-19,1028.97,Transport,Auto fare
2024-02-19,1393.29,Utilities,Electricity bill
2024-02-21,723.74,Utilities,Gas bill
2024-02-21,3989.76,Groceries,Vegetable market purchase
2024-02-23,630.43,Entertainment,Bowling night
2024-02-23,1865.63,Insurance,Health insurance premium
2024-02-23,652.07,Dining Out,Takeaway food
